"_id","uid","date","stime","etime","type","value","flag","total"
"1","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 00:00:00","2018-12-03 01:25:23","com.google.activity.segment","3","false","85"
"2","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 01:25:23","2018-12-03 01:37:40","com.google.activity.segment","7","false","12"
"3","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 01:37:57","2018-12-03 08:43:20","com.google.activity.segment","3","false","425"
"4","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 08:43:20","2018-12-03 09:01:20","com.google.activity.segment","7","false","18"
"5","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 09:02:50","2018-12-03 09:50:36","com.google.activity.segment","3","false","47"
"6","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 09:50:36","2018-12-03 10:11:23","com.google.activity.segment","7","false","20"
"7","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 10:11:23","2018-12-03 10:14:26","com.google.activity.segment","3","false","3"
"8","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 10:14:26","2018-12-03 10:36:07","com.google.activity.segment","7","false","21"
"9","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 10:36:07","2018-12-03 16:41:46","com.google.activity.segment","3","false","365"
"10","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 16:41:46","2018-12-03 16:53:49","com.google.activity.segment","7","false","12"
"11","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 16:53:49","2018-12-03 17:02:06","com.google.activity.segment","3","false","8"
"12","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 17:02:06","2018-12-03 17:43:19","com.google.activity.segment","7","false","41"
"13","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 17:43:19","2018-12-03 22:16:53","com.google.activity.segment","3","false","273"
"14","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 22:16:53","2018-12-03 22:31:14","com.google.activity.segment","7","false","14"
"15","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 22:31:14","2018-12-03 23:48:11","com.google.activity.segment","3","true","76"
"16","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 00:00:00","2018-12-04 08:32:55","com.google.activity.segment","3","false","512"
"17","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 08:36:43","2018-12-04 08:45:00","com.google.activity.segment","7","false","8"
"18","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 08:45:00","2018-12-04 11:46:12","com.google.activity.segment","3","false","181"
"19","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 11:46:12","2018-12-04 12:01:52","com.google.activity.segment","7","false","15"
