"_id","uid","date","stime","etime","activity","likert","percent","ema_index","checkTime"
"1","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 00:00:00","2018-12-03 00:55:25","공부/과제","매우 
 그렇다","80","1","2018-12-03 09:56:56"
"2","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 00:00:00","2018-12-03 00:55:25","수업","매우 
 그렇다","20","2","2018-12-03 09:56:56"
"3","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 09:02:50","2018-12-03 09:50:36","공부/과제","
 그렇다","80","1","2018-12-03 09:57:45"
"4","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 09:02:50","2018-12-03 09:50:36","수업","
 그렇다","20","2","2018-12-03 09:57:45"
"5","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 01:37:57","2018-12-03 08:43:20","수면","
 그렇다","100","1","2018-12-03 09:58:11"
"6","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 00:00:00","2018-12-03 01:25:23","sns","
 보통","100","1","2018-12-03 09:58:53"
"7","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 10:36:07","2018-12-03 16:41:46","수면","
 보통","100","1","2018-12-03 17:49:49"
"8","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 17:43:19","2018-12-03 22:16:53","수다","
 그렇다","40","1","2018-12-03 22:39:48"
"9","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 17:43:19","2018-12-03 22:16:53","식사/음주","
 그렇다","20","2","2018-12-03 22:39:48"
"10","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","2018-12-03 17:43:19","2018-12-03 22:16:53","퍼즐","
 그렇다","40","3","2018-12-03 22:39:48"
"11","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 00:00:00","2018-12-04 02:14:13","수다","매우 
 그렇다","20","4","2018-12-04 02:19:02"
"12","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 00:00:00","2018-12-04 02:14:13","sns","매우 
 그렇다","20","2","2018-12-04 02:19:02"
"13","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 00:00:00","2018-12-04 02:14:13","집안일(청소/빨래)","매우 
 그렇다","20","1","2018-12-04 02:19:02"
"14","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 00:00:00","2018-12-04 02:14:13","문화생활","매우 
 그렇다","60","3","2018-12-04 02:19:02"
"15","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 08:45:00","2018-12-04 11:46:12","수면","
 보통","80","1","2018-12-04 13:23:15"
"16","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 08:45:00","2018-12-04 11:46:12","학교갈준비","
 보통","20","2","2018-12-04 13:23:15"
"17","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 12:01:52","2018-12-04 13:11:48","수업","
 보통","100","1","2018-12-04 13:23:41"
"18","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 13:24:48","2018-12-04 15:30:50","수다","
 그렇다","20","2","2018-12-04 17:40:15"
"19","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-04","2018-12-04 13:24:48","2018-12-04 15:30:50","공부/과제","
 그렇다","80","1","2018-12-04 17:40:15"
