"_id","uid","date","day","timeTable","total","type","percent","sTime","eTime"
"1","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","0","Blue","0.0","2018-12-03 09:00:00","2018-12-03 10:15:00"
"2","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"3","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","0","Blue","0.0","2018-12-03 09:00:00","2018-12-03 10:15:00"
"4","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"5","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","0","Blue","0.0","2018-12-03 09:00:00","2018-12-03 10:15:00"
"6","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"7","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","0","Blue","0.0","2018-12-03 09:00:00","2018-12-03 10:15:00"
"8","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"9","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","32","Yellow","42.66666666666667","2018-12-03 09:00:00","2018-12-03 10:15:00"
"10","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"11","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","32","Yellow","42.66666666666667","2018-12-03 09:00:00","2018-12-03 10:15:00"
"12","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon5","0","Blue","0.0","2018-12-03 16:30:00","2018-12-03 17:45:00"
"13","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","7","mon0","43","Red","57.333333333333336","2018-12-03 09:00:00","2018-12-03 10:15:00"
