"_id","uid","date","min","flag","class"
"1","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729391","1","null"
"2","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729392","1","null"
"3","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729413","1","null"
"4","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729414","1","null"
"5","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729415","1","null"
"6","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729416","1","null"
"7","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729417","1","null"
"8","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729418","1","null"
"9","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729419","1","null"
"10","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729420","1","null"
"11","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729421","1","null"
"12","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729422","1","null"
"13","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729429","1","null"
"14","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729430","1","null"
"15","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729432","1","null"
"16","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729433","1","null"
"17","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729453","1","null"
"18","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729454","1","null"
"19","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729455","1","null"
"20","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729456","1","null"
"21","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729457","1","null"
"22","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729458","1","null"
"23","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729463","1","null"
"24","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729464","1","null"
"25","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729554","1","null"
"26","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729555","1","null"
"27","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729647","1","null"
"28","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729648","1","null"
"29","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729649","1","null"
"30","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729650","1","null"
"31","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729651","1","null"
"32","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729839","1","null"
"33","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729840","1","null"
"34","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729841","1","null"
"35","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729845","1","null"
"36","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729846","1","null"
"37","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729847","1","null"
"38","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729848","1","null"
"39","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729872","1","null"
"40","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729873","1","null"
"41","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729877","1","null"
"42","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729878","1","null"
"43","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729879","1","null"
"44","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729880","1","null"
"45","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729881","1","null"
"46","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729882","1","null"
"47","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729883","1","null"
"48","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729884","1","null"
"49","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729885","1","null"
"50","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729886","1","null"
"51","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729887","1","null"
"52","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729888","1","null"
"53","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729889","1","null"
"54","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729890","1","null"
"55","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729906","1","null"
"56","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729907","1","null"
"57","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729908","1","null"
"58","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729921","1","null"
"59","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729922","1","null"
"60","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729923","1","null"
"61","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729924","1","null"
"62","otfKOMf7VUaB5lxUARO0HNusxPB2","2018-12-03","25729925","1","null"
