timestamp, voltage, level, plugged, status
 2017.09.05_17.36.24, 4097mV, 88%, 0, 3
 2017.09.05_17.36.24, 4097mV, 88%, 0, 3
 2017.09.05_17.36.31, 4076mV, 88%, 0, 3
 2017.09.05_17.36.48, 4076mV, 88%, 0, 3
 2017.09.05_17.37.32, 4003mV, 88%, 0, 3
 2017.09.05_17.38.30, 4089mV, 87%, 0, 3
 2017.09.05_17.40.34, 4081mV, 87%, 0, 3
 2017.09.05_17.41.32, 4088mV, 87%, 0, 3
 2017.09.05_17.42.16, 4049mV, 86%, 0, 3
 2017.09.05_17.43.08, 4051mV, 86%, 0, 3
 2017.09.05_17.43.33, 4019mV, 86%, 0, 3
 2017.09.05_17.44.33, 3935mV, 86%, 0, 3
 2017.09.05_17.44.33, 3935mV, 85%, 0, 3
 2017.09.05_17.45.00, 3935mV, 85%, 0, 3
 2017.09.05_17.45.06, 4069mV, 85%, 0, 3
 2017.09.05_17.45.12, 4069mV, 85%, 0, 3
 2017.09.05_17.45.29, 4069mV, 85%, 0, 3
 2017.09.05_17.45.41, 4069mV, 85%, 0, 3
 2017.09.05_17.45.51, 4108mV, 85%, 0, 3
 2017.09.05_17.45.59, 4108mV, 85%, 0, 3
 2017.09.05_17.46.07, 4108mV, 85%, 0, 3
 2017.09.05_17.46.39, 4092mV, 85%, 0, 3
 2017.09.05_17.46.42, 4092mV, 85%, 0, 3
 2017.09.05_17.47.14, 4092mV, 85%, 0, 3
 2017.09.05_17.47.22, 4108mV, 85%, 0, 3
 2017.09.05_17.47.28, 4108mV, 85%, 0, 3
 2017.09.05_17.47.43, 4108mV, 85%, 0, 3
 2017.09.05_17.48.12, 4093mV, 85%, 0, 3
 2017.09.05_17.48.56, 4098mV, 85%, 0, 3
 2017.09.05_17.50.05, 4003mV, 85%, 0, 3
 2017.09.05_17.50.06, 4003mV, 85%, 0, 3
 2017.09.05_17.50.25, 4003mV, 85%, 0, 3
 2017.09.05_17.50.43, 4003mV, 85%, 0, 3
 2017.09.05_17.50.46, 4059mV, 85%, 0, 3
 2017.09.05_17.50.51, 4059mV, 85%, 0, 3
 2017.09.05_17.51.09, 4059mV, 84%, 0, 3
 2017.09.05_17.51.22, 4099mV, 84%, 0, 3
 2017.09.05_17.51.25, 4099mV, 84%, 0, 3
 2017.09.05_17.51.36, 4099mV, 84%, 0, 3
 2017.09.05_17.51.47, 4099mV, 84%, 0, 3
 2017.09.05_17.53.18, 4005mV, 83%, 0, 3
 2017.09.05_17.53.36, 4013mV, 83%, 0, 3
 2017.09.05_17.53.38, 4013mV, 83%, 0, 3
 2017.09.05_17.53.47, 4013mV, 83%, 0, 3
 2017.09.05_17.55.11, 4036mV, 83%, 0, 3
 2017.09.05_17.55.31, 4058mV, 83%, 0, 3
 2017.09.05_17.55.36, 4058mV, 83%, 0, 3
 2017.09.05_17.56.12, 4023mV, 83%, 0, 3
 2017.09.05_17.56.54, 4011mV, 83%, 0, 3
 2017.09.05_17.57.24, 4031mV, 83%, 0, 3
 2017.09.05_17.57.42, 4042mV, 83%, 0, 3
 2017.09.05_17.58.14, 4012mV, 83%, 0, 3
 2017.09.05_17.58.20, 4012mV, 82%, 0, 3
 2017.09.05_17.58.26, 4012mV, 82%, 0, 3
 2017.09.05_17.58.49, 3998mV, 82%, 0, 3
