timestamp, screen
2017.09.05_17.44.35.000, screenOff
2017.09.05_17.44.36.000, screenOn
2017.09.05_17.44.47.000, screenOff
2017.09.05_17.49.20.000, screenOn
2017.09.05_17.50.06.000, screenOff
2017.09.05_17.51.43.000, screenOn
2017.09.05_17.53.38.000, screenOff
2017.09.05_17.55.09.000, screenOff
2017.09.05_17.55.42.000, screenOn
2017.09.05_17.57.43.000, screenOff
2017.09.05_17.58.25.000, screenOff
2017.09.05_17.58.27.000, screenOn
2017.09.05_17.58.50.000, screenOff
2017.09.05_17.58.53.000, screenOn
2017.09.05_18.01.39.000, screenOff
2017.09.05_18.02.28.000, screenOn
2017.09.05_18.03.13.000, screenOff
2017.09.05_18.03.20.000, screenOn
2017.09.05_18.03.30.000, screenOff
2017.09.05_18.03.34.000, screenOn
2017.09.05_18.04.49.000, screenOff
2017.09.05_18.04.55.000, screenOn
2017.09.05_18.05.00.000, screenOff
2017.09.05_18.05.09.000, screenOn
2017.09.05_18.07.22.000, screenOff
2017.09.05_18.08.22.000, screenOn
2017.09.05_18.08.54.000, screenOff
2017.09.05_18.09.57.000, screenOff
2017.09.05_18.11.05.000, screenOn
2017.09.05_18.12.54.000, screenOff
2017.09.05_18.13.33.000, screenOn
2017.09.05_18.15.20.000, screenOff
2017.09.05_18.16.05.000, screenOff
2017.09.05_18.16.21.000, screenOn
2017.09.05_18.16.31.000, screenOff
2017.09.05_18.21.42.000, screenOn
2017.09.05_18.22.11.000, screenOff
2017.09.05_18.22.48.000, screenOn
2017.09.05_18.23.43.000, screenOff
2017.09.05_18.24.44.000, screenOn
2017.09.05_18.30.01.000, screenOff
2017.09.05_18.32.10.000, screenOff
2017.09.05_18.33.12.000, screenOn
2017.09.05_18.33.16.000, screenOff
2017.09.05_18.35.28.000, screenOn
2017.09.05_18.35.38.000, screenOff
2017.09.05_18.35.48.000, screenOn
2017.09.05_18.36.32.000, screenOff
2017.09.05_18.39.55.000, screenOn
2017.09.05_18.40.11.000, screenOff
2017.09.05_18.40.33.000, screenOn
2017.09.05_18.40.38.000, screenOff
2017.09.05_18.43.09.000, screenOff
2017.09.05_18.51.03.000, screenOn
2017.09.05_18.51.37.000, screenOff
2017.09.05_18.56.56.000, screenOff
2017.09.05_18.57.50.000, screenOn
2017.09.05_19.00.19.000, screenOff
2017.09.05_19.00.49.000, screenOn
2017.09.05_19.01.20.000, screenOff
2017.09.05_19.01.25.000, screenOn
2017.09.05_19.05.39.000, screenOff
2017.09.05_19.22.11.000, screenOff
2017.09.05_19.23.17.000, screenOn
2017.09.05_19.24.19.000, screenOff
2017.09.05_19.24.28.000, screenOn
2017.09.05_19.25.48.000, screenOff
2017.09.05_19.31.45.000, screenOff
2017.09.05_19.31.49.000, screenOn
2017.09.05_19.32.00.000, screenOff
2017.09.05_19.32.02.000, screenOn
